categoryId;categoryName;subcategoryId;subcategoryName
1301;Kunst;1482;Bücher
;;1402;Design
;;1459;Mode und Schönheit
;;1306;Essen
;;1405;Darstellende Kunst
;;1406;Bildende Kunst
1321;Wirtschaft;1410;Karriere
;;1493;Firmengründung
;;1412;Geldanlage
;;1491;Management
;;1492;Marketing
;;1494;Gemeinnützig
1303;Comedy;1496;Comedy-Interviews
;;1495;Impro-Comepdy
;;1497;Stand-Up-Comedy
1304;Bildung;1501;Kurse
;;1499;So geht's
;;1498;Sprachen lernen
;;1500;Selbstverwirklichung
1483;Fiktion;1486;Comedy-Fiction
;;1484;Drama
;;1485;Science-Fiction
1511;Regierung;1511;Regierung
1512;Gesundheit und Fitness;1513;Alterantive Therapien
;;1514;Fitness
;;1518;Medizin
;;1517;Mentale Gesundheit
;;1515;Ernährung
;;1516;Sexualität
1487;Geschichte;1487;Geschichte
1305;Kinder und Familie;1519;Bildung für Kids
;;1521;Kindererziehung
;;1522;Haus- und Wildtiere
;;1520;Geschichten für Kids
1502;Freizeit;1510;Animation und Manga
;;1503;Rund ums Auto
;;1504;Luftfahrt
;;1506;Basteln
;;1507;Spiele
;;1505;Hobbys
;;1508;Heim und Garten
;;1509;Videospiele
1310;Musik;1523;Musikrezension
;;1524;Musikgeschichte
;;1525;Musikinterviews
1489;Nachrichten;1490;Wirtschaftsnachrichten
;;1526;Nachrichten des Tages
;;1531;Aktuelles aus der Unterhaltung
;;1530;Kommentare
;;1527;Politik
;;1529;Sportnews
;;1528;Neues aus der Technik
1314;Religion und Spiritualität;1438;Buddhismus
;;1439;Christentum
;;1463;Hinduismus
;;1440;Islam
;;1441;Judentum
;;1532;Religion
;;1444;Spiritualität
1533;Wissenschaft;1538;Astronomie
;;1539;Chemie
;;1540;Geowissenschaften
;;1541;Biowissenschaften
;;1536;Mathematik
;;1534;Naturwissenschaften
;;1537;Natur
;;1542;Physik
;;1535;Sozialwissenschaften
1324;Gesellschaft und Kultur;1543;Dokumentation
;;1302;Tagebücher
;;1443;Philosophie
;;1320;Reisen und Orte
;;1544;Beziehung
1545;Sport;1549;Baseball
;;1548;Basketball
;;1554;Cricket
;;1560;Fantasy Sport
;;1547;Football
;;1553;Golf
;;1550;Eishockey
;;1552;Rugby
;;1551;Läufer
;;1546;Fußball
;;1558;Schwimmen
;;1556;Tennis
;;1557;Volleyball
;;1559;Abenteuer Natur
;;1555;Wrestling
1309;TV und Film;1562;Backstage
;;1564;Filmgeschichte
;;1565;Filminterviews
;;1563;Filmrezension
;;1561;TV-Rezensionen
1318;Technologie;1318;Technologie
1488;Wahre Kriminalfälle;1488;Wahre Kriminalfälle